fluid_density[lb/ft^3],fluid_viscosity[centipoise],velocity[ft/s],dP[psi]
74.88,33.62996667,7,1.426289348
74.88,33.62996667,9,2.340507359
74.88,33.62996667,12,4.113872916
74.88,39.08664444,1,0.032958529
74.88,39.08664444,3,0.269859864
74.88,39.08664444,5,0.734297052
74.88,39.08664444,7,1.426993971
74.88,39.08664444,9,2.351364178
74.88,39.08664444,12,4.136668538
74.88,44.54332222,1,0.033516923
74.88,44.54332222,3,0.271896255
74.88,44.54332222,5,0.736783627
74.88,44.54332222,7,1.428336022
74.88,44.54332222,9,2.35182772
74.88,44.54332222,12,4.158269918
74.88,50,1,0.03405199
74.88,50,3,0.27391459
74.88,50,5,0.739963353
74.88,50,7,1.433781416
74.88,50,9,2.357931789
74.88,50,12,4.177711972
81.12,0.8899,1,0.031001336
81.12,0.8899,3,0.275877824
81.12,0.8899,5,0.769233907
81.12,0.8899,7,1.492379089
81.12,0.8899,9,2.480835975
81.12,0.8899,12,4.439615936
81.12,6.346577778,1,0.031519178
81.12,6.346577778,3,0.278773537
81.12,6.346577778,5,0.771976474
81.12,6.346577778,7,1.501942749
81.12,6.346577778,9,2.457331552
81.12,6.346577778,12,4.389736787
81.12,11.80325556,1,0.032179916
81.12,11.80325556,3,0.281810719
81.12,11.80325556,5,0.775625311
81.12,11.80325556,7,1.514358147
81.12,11.80325556,9,2.492876159
81.12,11.80325556,12,4.431814052
81.12,17.25993333,1,0.032871775
81.12,17.25993333,3,0.283698201
81.12,17.25993333,5,0.774277502
81.12,17.25993333,7,1.513373629
81.12,17.25993333,9,2.515854385
81.12,17.25993333,12,4.470248687
81.12,22.71661111,1,0.033528404
81.12,22.71661111,3,0.285277722
81.12,22.71661111,5,0.785142589
81.12,22.71661111,7,1.533312583
81.12,22.71661111,9,2.498856366
81.12,22.71661111,12,4.472402791
81.12,28.17328889,1,0.034144762
81.12,28.17328889,3,0.287217635
81.12,28.17328889,5,0.788985008
81.12,28.17328889,7,1.533441667
81.12,28.17328889,9,2.518269412
81.12,28.17328889,12,4.485573402
81.12,33.62996667,1,0.034816927
81.12,33.62996667,3,0.288847615
81.12,33.62996667,5,0.788888079
81.12,33.62996667,7,1.542689725
81.12,33.62996667,9,2.530566459
81.12,33.62996667,12,4.451606372
81.12,39.08664444,1,0.035362894
81.12,39.08664444,3,0.291071265
81.12,39.08664444,5,0.792721796
81.12,39.08664444,7,1.543592587
81.12,39.08664444,9,2.540956111
81.12,39.08664444,12,4.505506844
81.12,44.54332222,1,0.035916703
81.12,44.54332222,3,0.29313401
81.12,44.54332222,5,0.796657533
81.12,44.54332222,7,1.545908989
81.12,44.54332222,9,2.549790956
81.12,44.54332222,12,4.50957487
81.12,50,1,0.036485431
81.12,50,3,0.295214276
81.12,50,5,0.79910254
81.12,50,7,1.548038582
81.12,50,9,2.549799658
81.12,50,12,4.523497213
